Date,AEP,D,DUK,ED,EIX,EXC,KEP,NEE,NGG,PCG,PEG,PPL,SO,SRE,WEC,XEL
2012-07-18,36.432648,47.750659000000006,56.671991000000006,55.442875,41.724892,33.30751,11.09,63.042547,44.411727,39.738285,28.768883000000002,24.670181,40.708269,63.938148999999996,36.918181,25.721365
2012-07-19,36.510886,47.592573,56.714881999999996,55.320639,41.861993,33.521955,10.98,62.86370600000001,44.487905,39.782194,28.742683000000003,24.824583999999998,40.614608000000004,64.092851,36.846636,25.606695000000002
2012-07-20,36.450035,47.390575,56.800656000000004,55.678616000000005,42.053934999999996,33.659199,10.97,63.033603,43.49759,39.94027,28.681547,24.901785999999998,40.674209000000005,64.329459,36.810862,25.756648000000002
2012-07-23,36.241399,46.986579,56.183069999999994,55.495263,41.71575,33.659199,10.89,62.550723,42.53267,39.430919,28.506871999999998,24.755961,40.555006,63.182829000000005,36.471013,25.509666
2012-07-24,36.024073,46.556233,55.985783,55.512725,41.432407,33.341819,11.09,61.924772,42.211028999999996,39.026947,28.4108,24.558667,40.112246,62.582211,36.229541999999995,25.33325
2012-07-25,35.832827,46.802147,56.457552,55.425412,41.258741,33.024442,10.98,61.540257,42.456492,39.430919,28.375868,24.472889000000002,40.35917,61.945199,35.755545,25.297968
2012-07-26,36.467421,47.53988,57.761339,56.246140000000004,41.743169,33.436175,11.18,63.239277,43.556839000000004,40.107125,29.048362,24.695915,40.938163,63.410334999999996,36.238487,25.694902
2012-07-27,36.875993,48.277613,57.864273,56.665239,42.373843,33.770708,11.29,63.570133999999996,44.208584,40.493533,29.476315999999997,25.021877,41.227656,64.484161,36.587278000000005,25.977168
2012-07-30,37.00639,48.233698,58.387505000000004,56.700164,42.702890000000004,33.873643,11.15,63.86522900000001,44.454046999999996,40.836028000000006,29.694659,25.047611,41.151028000000004,64.484161,36.694596999999995,26.091836999999998
2012-07-31,36.719521,47.697966,58.138754000000006,56.315991000000004,42.20932,33.556263,11.05,63.400237,43.929266999999996,40.537442,29.030896999999996,24.790272,40.997765,64.07465400000001,36.435241999999995,25.844855
2012-08-01,36.667361,47.434487,57.915735999999995,56.27233199999999,41.057656,32.809998,11.15,63.114087,43.726124,40.344238,28.471936,24.764539000000003,40.776384,63.774345,36.014903000000004,25.791930999999998
2012-08-02,36.354409999999994,47.258839,57.864273,56.097712,41.139918,32.561240999999995,11.07,62.77427900000001,43.996978999999996,40.168602,28.209925,24.524356,40.509703,63.000828000000006,35.710829,25.536129000000003
2012-08-03,36.80645,47.785790000000006,58.842115,56.455693000000004,41.76145,32.998709999999996,11.09,63.373411,44.750293,40.836028000000006,28.506871999999998,24.601557,40.733369,63.901747,36.086448,25.862497
2012-08-06,36.849915,47.715532,58.50759,56.359649,41.359284,32.647021,10.72,62.944182999999995,44.741831,40.844809000000005,28.524340000000002,24.653025,40.767781,63.446736,36.131168,25.827215
2012-08-07,36.597815000000004,47.408141,58.370352000000004,56.141369999999995,40.728613,32.604129,10.49,62.461303,45.165040999999995,40.203727,28.332196999999997,24.438576,40.552715,63.210129,35.621396999999995,25.536129000000003
2012-08-08,37.230781,47.135881,58.361773,55.783389,40.774313,32.767109000000005,10.5,62.416596,45.495145,39.632903000000006,28.419535999999997,24.987564000000003,40.372060999999995,62.691416000000004,35.514074,25.465563
2012-08-09,38.127485,47.100753000000005,58.40465699999999,55.521455,40.993675,33.093066,10.72,61.924772,45.503608,39.861232,28.437003999999998,25.356416,40.268831,62.682314,35.201058,25.342071
2012-08-10,38.285727,47.179796,58.198797,55.765927000000005,41.112499,33.384707,10.62,62.416596,45.766000000000005,39.729504999999996,28.646611,25.665223,40.363457000000004,62.818819,35.381298,25.456742000000002
2012-08-13,38.206606,46.942667,58.516169,55.787967,40.929694,33.302104,10.62,61.960541000000006,45.918356,39.685593,28.445736,25.673801,40.243021,62.42750899999999,35.137975,25.359713
2012-08-14,38.127485,46.986579,58.499010999999996,55.708635,41.386703000000004,33.076034,10.7,62.228803000000006,46.358495,39.76463,28.489403999999997,25.510820000000002,40.088173,63.091828,35.137975,25.377354999999998
2012-08-15,37.94287,47.258839,57.922132999999995,55.250271999999995,41.423265,32.849959999999996,10.65,61.906890000000004,46.400815,39.439699,28.559275,25.476509,39.907519,63.055427,35.092912,25.245044
2012-08-16,38.021991,47.381794,57.852739,54.474582,41.194759999999995,32.589109,10.72,62.219866,46.697062,38.904,28.349665,25.304949,39.632236,62.718716,34.732432,25.200939
2012-08-17,37.863749,47.355444,57.679237,54.368807,40.911414,32.597806,10.73,62.237747999999996,46.756314,39.141113,28.533071999999997,25.227747,39.640840999999995,62.554912,34.750457,25.130373000000002
2012-08-20,37.898915,47.531096000000005,57.635867000000005,54.615616,40.975398,32.763011,10.86,61.728042,46.739385,39.422135,28.227393,25.296371,39.546211,62.63681700000001,34.822552,25.121551999999998
2012-08-21,37.49452,47.250054999999996,57.30621800000001,54.113181000000004,40.445266,32.571719,10.84,61.307756999999995,46.409282,38.930347999999995,28.323464,25.141968,39.417171,61.653992,34.687373,24.936317000000003
2012-08-22,37.459354,47.083188,57.254169999999995,54.307104,40.289885,32.232611999999996,10.93,60.994781999999994,46.502385,38.886435999999996,28.218660999999997,25.124813,39.649442,61.653992,34.89465,24.85693
2012-08-23,37.450561,46.670407,56.594878,53.760597,39.851154,32.050016,10.87,60.279408999999994,46.087641,38.456123,27.895512,24.936097,39.21071,60.925971,34.426023,24.389428
2012-08-24,37.626386,46.977798,56.794403,54.139624,40.097939000000004,32.023932,11.01,60.663918,46.062246,38.702016,28.061453000000004,25.116235,39.468788,61.13528,34.58824,24.63641
2012-08-27,37.635179,47.469618,56.829103,53.980963,39.842015,32.215221,11.14,61.075265,46.189209999999996,38.622978,27.991582,25.116235,39.597825,61.180783,34.606264,24.671692
2012-08-28,37.705507,47.381794,56.70765600000001,53.945704000000006,39.576949,32.041319,10.97,61.155742000000004,46.14689,38.658107,27.930446000000003,25.133389,39.374158,60.734868000000006,34.480093,24.654052
2012-08-29,37.784628000000005,46.9809,56.655602,53.575486,39.951696000000005,31.780468,10.83,61.119659,46.316175,38.53516,27.781972999999997,25.219169,39.159093,60.816773,34.480093,24.654052
2012-08-30,37.626386,46.581779,56.221858,53.55785600000001,40.0431,31.815248999999998,10.62,60.785867,46.316175,38.254139,27.624765999999997,25.184858,39.038657,60.425464,34.344914,24.557023
2012-08-31,37.793421,46.546301,56.195834999999995,53.434452,40.024819,31.710909,10.71,60.72271800000001,46.104569,38.122408,27.650966999999998,25.159124,38.995645,60.243455000000004,34.209732,24.601126
2012-09-04,37.925287,46.572908,56.221858,53.663635,40.189343,31.397886,10.45,60.614466,46.400815,38.148753,27.668435,25.399307,39.116081,60.179754,34.58824,24.768721
2012-09-05,37.758256,46.564040000000006,55.926916000000006,53.178829,40.207623,31.128338,10.37,60.57838,46.646278,37.744784,27.619856,25.42504,39.030053,59.824845999999994,34.561201000000004,24.724618
2012-09-06,38.259353999999995,47.690447,56.386683,53.822299,40.56409,31.476142,10.65,60.812937,47.137201,37.929204,28.017326,25.364256,39.632236,60.780372,34.777491999999995,24.998062
2012-09-07,38.206606,47.149417,56.143788,53.443268,40.500109,31.432667,10.69,61.029447,46.950990999999995,38.175101,27.964331,25.390307,39.494594,60.616567,34.380963,24.786363
2012-09-10,38.145068,47.255848,56.239212,53.319864,40.527528000000004,31.041388,10.58,61.291067000000005,46.096103,38.157537,28.070324,25.294789,39.305336,60.580166000000006,34.128623,24.795184
2012-09-11,38.180233,46.95429,55.918239,53.1612,40.609790000000004,30.858793,10.6,61.110636,46.180747,38.04337,27.858339,25.121122,39.073065,60.598363,34.128623,24.706976
2012-09-12,38.241772,46.794641999999996,55.562573,53.046608,40.646351,30.319696,10.61,60.54229300000001,46.248459000000004,37.841386,27.602190000000004,25.016920000000002,38.98704,60.325361,33.732095,24.63641
2012-09-13,38.646166,47.530799,56.09174,53.760597,41.22218,30.928352,11.12,61.976684999999996,46.984845,38.052153999999994,28.149818,25.390307,39.503196,61.17168100000001,34.047515000000004,24.989241
2012-09-14,38.382431,46.847859,55.68402,52.720467000000006,41.286161,31.250068,11.07,61.15574599999999,47.018703,37.981897,28.140984999999997,25.242689000000002,38.754769,59.87035,33.678021,24.821645999999998
2012-09-17,38.303309999999996,46.661604,55.640643000000004,52.544173,40.893136,30.867486,11.03,60.939235,46.832491999999995,37.349596000000005,27.929001,25.155855,38.651539,59.560938,33.479758000000004,24.565844
2012-09-18,38.259353999999995,46.342307,54.79050600000001,52.429581000000006,41.277021999999995,30.841402000000002,11.08,60.812937,47.094881,37.375944,27.725846999999998,25.034287,38.677346,58.860225,33.227419,24.450051000000002
2012-09-19,38.531883,46.43987,55.024728,52.411952,41.313584000000006,30.867486,11.28,60.903149,47.281094,37.35838,27.867171000000003,24.982187,38.858000000000004,58.905728,33.218408000000004,24.423329000000003
2012-09-20,38.654959999999996,46.759167,55.458472,52.429581000000006,41.322722,30.824012,11.23,61.390303,47.695839,37.454982,28.034992,24.921404000000003,38.918221,58.960328000000004,33.155324,24.432236
2012-09-21,38.690121999999995,46.741428000000006,55.588595999999995,52.094623,41.487246,30.763146000000003,11.38,61.913536,47.255703000000004,37.402289,27.999662,24.947453,38.935423,58.732822,33.101251,24.334257
2012-09-24,39.076937,47.105071,56.083064,52.429581000000006,42.026516,31.189203000000003,11.5,62.689372999999996,47.399592999999996,37.595493,28.211646999999996,25.242689000000002,39.417171,59.160532999999994,33.506793,24.57475
2012-09-25,38.997816,46.697082,55.814138,52.411952,41.871134999999995,30.963133000000003,11.81,62.779585,47.458842,37.454982,28.105653999999998,25.164538,39.348352,59.169629,33.705059999999996,24.628192000000002
2012-09-26,38.997816,46.909944,55.805468000000005,52.967276,41.875735999999996,30.954435999999998,12.3,63.104354,47.281094,37.762349,28.132153000000002,25.069022,39.666647,58.912452,33.984431,24.717264
2012-09-27,38.52309,46.838991,55.571243,52.51773000000001,41.848118,30.997914,12.36,63.275762,47.645056,37.642525,28.132153000000002,24.869301999999998,39.503196,58.838970999999994,33.696046,24.450051000000002
2012-09-28,38.628584000000004,46.95429,56.204511,52.79098199999999,42.059843,30.937047999999997,12.42,63.44716999999999,46.857884000000006,37.873295,28.423632,25.225322,39.649442,59.233925,33.948382,24.681634
2012-10-01,38.602211,46.838991,55.848838,52.429581000000006,42.308392,30.780537,12.43,63.284785,47.433451,37.491637,28.008494,25.008236,39.288129999999995,59.371701,33.804189,24.467864000000002
2012-10-02,38.830781,47.211502,56.178488,52.579432,42.345214,30.89357,12.56,63.66368000000001,47.594269,37.518263,28.211646999999996,25.147171,39.202104999999996,59.803396,33.768144,24.628192000000002
