Date,AMZN,BIDU,BT,CHL,CMCSA,CSCO,DCM,DIS,GOOGL,NTT,PCLN,T,TV,TWX,VOD,VZ
2013-09-03,288.799988,136.169998,49.625243,50.194838,41.155483000000004,21.919247,16.17,59.08792,430.62061100000005,25.540001,942.830017,29.511545,25.214256,56.516383,29.035846000000003,41.523493
2013-09-04,293.640015,134.490005,50.390454,51.236396,41.463619,22.189971,16.139999,59.262479000000006,436.251257,25.700001,952.4500119999999,29.883540999999997,25.353177,57.096656,29.398683000000002,42.21841
2013-09-05,294.100006,132.990005,50.409349,51.638433,40.962897,22.115289,16.299999,59.446732999999995,440.220221,25.709999,957.7999880000001,29.529259999999997,25.521867,56.719017,29.707088,42.092062
2013-09-06,295.859985,135.669998,50.551052,52.152667,40.905120000000004,21.984594,16.16,59.534012,440.23023,26.1,959.150024,29.591258000000003,26.901161,56.599281000000005,29.83408,41.821315999999996
2013-09-09,299.709991,136.580002,51.023403,52.629504000000004,40.731792999999996,22.33,16.42,59.727966,444.469488,26.66,965.659973,29.786114,27.327849,57.326917,30.242271000000002,41.433246000000004
2013-09-10,300.359985,140.600006,51.949215,53.667322,41.251774,22.554047,16.719998999999998,60.93048,444.779791,26.92,977.5,30.087252000000003,27.516384000000002,57.971663,29.952002,41.93864
2013-09-11,299.640015,147.309998,51.864191999999996,52.236814,42.176183,22.759422,16.17,62.006918000000006,448.54355400000003,26.690001000000002,981.5599980000001,30.087252000000003,27.566,58.321663,30.097138,41.983764
2013-09-12,298.859985,144.5,51.845296999999995,51.946975,41.877678,22.675406,16.27,63.510056999999996,446.976996,26.719998999999998,969.7899779999999,30.450389,26.940852000000003,57.842711,30.296695,42.732828000000005
2013-09-13,297.920013,142.639999,51.968106,52.498608,42.339882,22.703411,16.23,64.67378199999999,444.97998600000005,26.780001000000002,966.820007,30.397246000000003,27.585844,57.621662,30.469041999999998,43.102848
2013-09-16,296.059998,142.58999599999999,51.99645,52.87259399999999,42.773196,22.759422,16.25,64.916224,444.324316,27.120001000000002,967.73999,30.618671000000003,27.952995,57.769029,30.741165999999996,43.590192
2013-09-17,304.170013,143.809998,51.835848,52.956742000000006,42.802087,22.750088,15.91,64.955015,443.49850999999995,26.1,970.23999,30.778097,28.191146000000003,57.93481800000001,30.659532000000002,43.833865
2013-09-18,312.02999900000003,145.699997,52.76165699999999,53.405527,42.62876,23.151504,16.23,65.081082,452.11212699999993,26.49,995.090027,30.955238,28.935368,58.340084999999995,30.995146999999996,43.969239
2013-09-19,312.059998,147.699997,51.73193,53.639269999999996,42.763569,22.974135,16.24,63.73310600000001,449.644659,26.559998999999998,1000.6199949999999,30.831241,28.568219,59.316412,30.423687,43.779714
